Origin Country,Destination Country,HS Code,HTS / Regional Tariff Flag,Product Category,Product Description,Package Type & Weight Range,Mode of Transport,Required Documents
Singapore,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
Mexico,France,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Canada,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
South Africa,Mexico,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Germany,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Germany,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Japan,China,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
China,UAE,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List; Type Approval Certificate
India,China,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,India,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Import Export Code (IEC); Packing List
Brazil,United States,850440,Yes,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Japan,China,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Canada,India,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
South Africa,UAE,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United States,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Japan,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Canada,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Canada,Australia,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
UAE,France,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Canada,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Mexico,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
UAE,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Indonesia,India,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Import Export Code (IEC); Packing List
United Kingdom,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Australia,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
UAE,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Road, Commercial Invoice; Packing List; Type Approval Certificate
Mexico,France,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
Canada,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Germany,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
UAE,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
UAE,Indonesia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
China,Canada,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Japan,India,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); Insurance Certificate; MSDS; Packing List
United States,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Mexico,India,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Import Export Code (IEC); Packing List
Germany,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
United Kingdom,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
South Africa,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Brazil,Indonesia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
India,United Kingdom,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Canada,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,India,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
South Africa,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
France,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Indonesia,France,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
United States,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
India,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Japan,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Road, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
United States,China,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Brazil,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Brazil,China,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
China,Indonesia,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Singapore,France,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Germany,India,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Import Export Code (IEC); MSDS; Packing List
UAE,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
France,Germany,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
China,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Brazil,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Brazil,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
South Africa,United Kingdom,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Brazil,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Australia,Brazil,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Road, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
France,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Japan,Australia,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Packing List
Germany,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Sea, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Insurance Certificate; Packing List; Phytosanitary Certificate
Brazil,Canada,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
France,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Air, Commercial Invoice; Packing List
Mexico,Indonesia,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Air, Commercial Invoice; Packing List
Singapore,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
France,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
United States,India,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Import Export Code (IEC); Insurance Certificate; Packing List
Indonesia,Canada,850440,Yes,Electronics,AC/DC power adapters,Pallets (200–800 kg),Road, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Mexico,Indonesia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Sea, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Indonesia,Germany,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
South Africa,United Kingdom,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
Germany,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Australia,UAE,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
Singapore,UAE,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Canada,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Air, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Canada,France,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
United States,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
South Africa,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
France,UAE,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
India,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
United Kingdom,Japan,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Packing List
Canada,Singapore,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Air, Commercial Invoice; Insurance Certificate; Packing List
Mexico,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Packing List; Phytosanitary Certificate
United States,United Kingdom,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Indonesia,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Packing List; Phytosanitary Certificate
Germany,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
France,Brazil,870323,No,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
India,Brazil,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
United Kingdom,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Air, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Germany,Singapore,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
United Kingdom,Australia,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Indonesia,United Kingdom,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Brazil,China,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Sea, Commercial Invoice; Packing List
South Africa,United States,300490,Yes,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Mexico,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Rail, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
United States,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Brazil,Germany,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
United States,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
Singapore,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,China,620342,No,Textiles & Apparel,Men's cotton trousers,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
Germany,France,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Sea, Commercial Invoice; Packing List
Mexico,Australia,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
Canada,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Canada,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Packing List; Type Approval Certificate
Japan,UAE,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
India,United Kingdom,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Packing List
Mexico,Singapore,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Air, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
Singapore,Brazil,901890,No,Medical Devices,Diagnostic ultrasound equipment,Containers (1–20 MT),Road, Commercial Invoice; Packing List
United States,China,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,Japan,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Air, Commercial Invoice; Insurance Certificate; Packing List
Australia,United Kingdom,850440,No,Electronics,AC/DC power adapters,Pallets (200–800 kg),Air, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Packing List
France,Indonesia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Insurance Certificate; Packing List
Japan,UAE,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Packing List
South Africa,United States,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,Germany,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Road, CE Compliance; Commercial Invoice; FDA Compliance; Insurance Certificate; Packing List
Indonesia,China,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Germany,Indonesia,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Air, Commercial Invoice; Packing List
China,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,Germany,620342,No,Textiles & Apparel,Men's cotton trousers,Drums (50–200 kg),Air, Commercial Invoice; Packing List
China,UAE,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Rail, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,China,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Road, Commercial Invoice; Packing List
India,Canada,870323,Yes,Automotive,Petrol engine passenger vehicles,Drums (50–200 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
Brazil,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Singapore,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
UAE,Indonesia,901890,No,Medical Devices,Diagnostic ultrasound equipment,Pallets (200–800 kg),Road, Commercial Invoice; Packing List
South Africa,Brazil,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Rail, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
India,South Africa,870323,No,Automotive,Petrol engine passenger vehicles,Pallets (200–800 kg),Road, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Mexico,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Road, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Indonesia,Australia,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List
China,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Insurance Certificate; Packing List
France,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Canada,China,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Canada,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Packing List
Mexico,South Africa,280700,No,Chemicals,Sulfuric acid industrial grade,Cartons (5–25 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Germany,France,850440,No,Electronics,AC/DC power adapters,Containers (1–20 MT),Rail, BIS Compliance; CE Compliance; Commercial Invoice; FCC Compliance; Insurance Certificate; Packing List
Mexico,Singapore,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Packing List
Germany,United Kingdom,870323,No,Automotive,Petrol engine passenger vehicles,Containers (1–20 MT),Sea, Commercial Invoice; Insurance Certificate; Packing List; Type Approval Certificate
UAE,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
United Kingdom,Singapore,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
India,Canada,850440,Yes,Electronics,AC/DC power adapters,Drums (50–200 kg),Sea,BIS Compliance;  CE Compliance; Commercial Invoice; FCC Compliance; Packing List
Australia,France,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Air, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Packing List
Japan,China,850440,No,Electronics,AC/DC power adapters,Drums (50–200 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
Mexico,India,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Rail, Certificate of Origin; Commercial Invoice; FSSAI Import Clearance; Import Export Code (IEC); Packing List; Phytosanitary Certificate
South Africa,Germany,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Pallets (200–800 kg),Road, Certificate of Origin; Commercial Invoice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
Indonesia,UAE,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Air, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Germany,China,870323,No,Automotive,Petrol engine passenger vehicles,Cartons (5–25 kg),Air, Commercial Invoice; Packing List; Type Approval Certificate
South Africa,Mexico,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
India,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Sea, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
United Kingdom,United States,620342,Yes,Textiles & Apparel,Men's cotton trousers,Pallets (200–800 kg),Rail, Commercial Invoice; Insurance Certificate; Packing List
South Africa,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Cartons (5–25 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
China,South Africa,620342,No,Textiles & Apparel,Men's cotton trousers,Cartons (5–25 kg),Rail, Commercial Invoice; Packing List
Canada,United States,100630,Yes,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Sea, Certificate of Origin; Commercial Invoice; FDA Prior Notice; FSSAI Compliance; Insurance Certificate; Packing List; Phytosanitary Certificate
France,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Road, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
India,Canada,280700,Yes,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; Insurance Certificate; MSDS; Packing List
India,Singapore,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Rail, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
UAE,Australia,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
China,Japan,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Mexico,China,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Cartons (5–25 kg),Rail, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
UAE,India,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Drums (50–200 kg),Air, Certificate of Analysis; Commercial Invoice; Drug License; Import Export Code (IEC); Packing List
Brazil,South Africa,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Drums (50–200 kg),Road, Certificate of Origin; Commercial Invoice; Insurance Certificate; Packing List; Phytosanitary Certificate
United Kingdom,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Containers (1–20 MT),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
South Africa,Mexico,850440,No,Electronics,AC/DC power adapters,Cartons (5–25 kg),Air, Commercial Invoice; Packing List
Mexico,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Rail, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
United Kingdom,Mexico,100630,No,Food & Agriculture,Semi-milled rice for human consumption,Containers (1–20 MT),Air, Certificate of Origin; Commercial Invoice; Packing List; Phytosanitary Certificate
United States,Brazil,280700,No,Chemicals,Sulfuric acid industrial grade,Drums (50–200 kg),Sea, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
India,UAE,901890,No,Medical Devices,Diagnostic ultrasound equipment,Cartons (5–25 kg),Road, Commercial Invoice; Packing List
Singapore,France,280700,No,Chemicals,Sulfuric acid industrial grade,Pallets (200–800 kg),Rail, Commercial Invoice; Dangerous Goods Declaration; MSDS; Packing List
Australia,South Africa,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Containers (1–20 MT),Air, Certificate of Analysis; Commercial Invoice; Drug License; Packing List
Mexico,Germany,300490,No,Pharmaceuticals,Finished formulation medicinal tablets,Pallets (200–800 kg),Road, CE Compliance; Certificate of Analysis; Commercial Invoice; Drug License; FDA Compliance; Insurance Certificate; Packing List
